date,ticker,adj_close
2016-11-25,F,11.402267456237
2016-11-23,F,11.269682950932
2016-11-22,F,11.260212629125
2016-11-21,F,11.16550941105
2016-11-18,F,11.137098445627
2016-11-17,F,11.24127198551
2016-11-16,F,11.364386169007
2016-11-15,F,11.402267456237
2016-11-14,F,11.421208099852
2016-11-11,F,11.629555179617
2016-11-10,F,11.307564238162
2016-11-09,F,10.966632653092
2016-11-08,F,10.871929435017
2016-11-07,F,10.966632653092
2016-11-04,F,10.739344929712
2016-11-03,F,10.748815251519
2016-11-02,F,10.796166860557
2016-11-01,F,10.995043618514
2016-10-31,F,11.118157802012
2016-10-28,F,11.099217158397
2016-10-27,F,11.118157802012
2016-10-26,F,11.250742307317
2016-10-25,F,11.222331341895
2016-10-24,F,11.400018254808
2016-10-21,F,11.241035227464
2016-10-20,F,11.19427551354
2016-10-19,F,11.231683284679
2016-10-18,F,11.119459971261
2016-10-17,F,11.110108028476
2016-10-14,F,11.13816385683
2016-10-13,F,11.13816385683
2016-10-12,F,11.184923570755
2016-10-11,F,11.21297939911
2016-10-10,F,11.334554655313
2016-10-07,F,11.493537682657
2016-10-06,F,11.587057110506
2016-10-05,F,11.67122459557
2016-10-04,F,11.409370197593
2016-10-03,F,11.315850769744
2016-09-30,F,11.287794941389
2016-09-29,F,11.19427551354
2016-09-28,F,11.306498826959
2016-09-27,F,11.203627456325
2016-09-26,F,11.231683284679
2016-09-23,F,11.381314369238
2016-09-22,F,11.390666312023
2016-09-21,F,11.306498826959
2016-09-20,F,11.222331341895
2016-09-19,F,11.325202712529
2016-09-16,F,11.325202712529
2016-09-15,F,11.325202712529
2016-09-14,F,11.353258540883
2016-09-13,F,11.577705167721
2016-09-12,F,11.876967336838
2016-09-09,F,11.577705167721
2016-09-08,F,11.905023165193
2016-09-07,F,11.876967336838
2016-09-06,F,11.848911508484
2016-09-02,F,11.68992848114
2016-09-01,F,11.633816824431
2016-08-31,F,11.783447908989
2016-08-30,F,11.736688195065
2016-08-29,F,11.661872652785
2016-08-26,F,11.577705167721
2016-08-25,F,11.661872652785
2016-08-24,F,11.502889625442
2016-08-23,F,11.615112938861
2016-08-22,F,11.559001282151
2016-08-19,F,11.587057110506
2016-08-18,F,11.530945453797
2016-08-17,F,11.587057110506
2016-08-16,F,11.540297396582
2016-08-15,F,11.624464881646
2016-08-12,F,11.530945453797
2016-08-11,F,11.512241568227
2016-08-10,F,11.456129911517
2016-08-09,F,11.512241568227
2016-08-08,F,11.390666312023
2016-08-05,F,11.400018254808
2016-08-04,F,11.297146884174
2016-08-03,F,11.343906598098
2016-08-02,F,11.166219685185
2016-08-01,F,11.67122459557
2016-07-29,F,11.839559565699
2016-07-28,F,11.886319279623
2016-07-27,F,12.943088814318
2016-07-26,F,12.961792699888
2016-07-25,F,12.795260031367
2016-07-22,F,12.804511846285
2016-07-21,F,12.878526365628
2016-07-20,F,12.711993697107
2016-07-19,F,12.628727362846
2016-07-18,F,12.628727362846
2016-07-15,F,12.554712843503
2016-07-14,F,12.573216473339
2016-07-13,F,12.471446509243
2016-07-12,F,12.443691064489
2016-07-11,F,12.277158395968
2016-07-08,F,12.110625727447
2016-07-07,F,11.796064020241
2016-07-06,F,11.62953135172
2016-07-05,F,11.472250498117
2016-07-01,F,11.768308575487
2016-06-30,F,11.62953135172
2016-06-29,F,11.611027721884
2016-06-28,F,11.462998683199
2016-06-27,F,11.250206940089
2016-06-24,F,11.583272277131
2016-06-23,F,12.3974319899
2016-06-22,F,12.193892061708
2016-06-21,F,12.230899321379
2016-06-20,F,12.415935619736
2016-06-17,F,12.267906581051
2016-06-16,F,12.138381172201
2016-06-15,F,12.036611208105
2016-06-14,F,11.879330354501
2016-06-13,F,12.008855763351
2016-06-10,F,12.119877542365
2016-06-09,F,12.267906581051
2016-06-08,F,12.360424730229
2016-06-07,F,12.378928360065
2016-06-06,F,12.193892061708
2016-06-03,F,12.064366652858
2016-06-02,F,12.221647506461
2016-06-01,F,12.129129357283
2016-05-31,F,12.480698324161
2016-05-27,F,12.443691064489
2016-05-26,F,12.452942879407
