Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DD,DIS,DJI,DOW,GE,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM,intercept
2020-01-21,79.14250183105469,237.60000610351562,130.52999877929688,313.3699951171875,145.85000610351562,185.27000427246094,48.79999923706055,113.30999755859375,61.779998779296875,143.55999755859375,29196.0,52.599998474121094,93.27999877929688,245.6999969482422,232.9499969482422,180.92999267578125,133.04971313476562,60.54999923706055,149.27000427246094,136.83999633789062,57.16999816894531,211.16000366210938,179.38999938964844,85.84923553466797,166.5,104.58000183105469,38.27324676513672,126.08999633789062,97.21208190917969,140.91000366210938,300.5299987792969,207.2899932861328,60.31999969482422,53.869998931884766,115.58999633789062,67.58000183105469,1
2020-01-22,79.42500305175781,236.75,131.49000549316406,309.0,142.6300048828125,182.75,49.06999969482422,112.9000015258789,60.779998779296875,144.00999450683594,29186.30078125,50.869998931884766,90.95999908447266,247.0500030517578,232.89999389648438,180.0500030517578,137.5621337890625,62.72999954223633,148.25,136.67999267578125,57.61000061035156,211.44000244140625,178.02999877929688,85.54389190673828,165.6999969482422,104.48999786376953,38.13093185424805,126.30999755859375,96.78414154052734,141.33999633789062,300.5899963378906,207.89999389648438,60.47999954223633,53.41999816894531,116.0999984741211,67.19000244140625,1
2020-01-23,79.80750274658203,235.0399932861328,131.3699951171875,317.7900085449219,142.75,183.97999572753906,49.0,113.0999984741211,60.540000915527344,142.1999969482422,29160.099609375,50.25,94.16000366210938,245.5800018310547,233.64999389648438,179.5800018310547,136.58700561523438,63.31999969482422,148.52999877929688,136.5399932861328,57.83000183105469,213.4199981689453,177.74000549316406,84.50381469726562,166.72000122070312,103.0199966430664,38.62428665161133,124.98999786376953,96.79043579101562,134.19000244140625,299.4599914550781,206.52000427246094,60.5099983215332,53.29999923706055,115.80999755859375,66.7699966430664,1
2020-01-24,79.57749938964844,225.58999633789062,135.11000061035156,323.04998779296875,140.3800048828125,182.11000061035156,48.849998474121094,111.8499984741211,59.38999938964844,140.0800018310547,28989.69921875,48.4900016784668,93.68000030517578,241.9199981689453,232.0,177.1300048828125,134.3785858154297,68.47000122070312,148.32000732421875,133.14999389648438,57.68000030517578,211.24000549316406,178.14999389648438,82.04198455810547,165.0399932861328,102.02999877929688,37.779884338378906,125.13999938964844,96.40654754638672,134.77999877929688,292.80999755859375,205.0,60.279998779296875,52.040000915527344,114.37000274658203,66.31999969482422,1
2020-01-27,77.23750305175781,222.9499969482422,130.63999938964844,316.6000061035156,135.72999572753906,180.7100067138672,47.470001220703125,110.38999938964844,57.38999938964844,135.89999389648438,28535.80078125,47.18000030517578,91.5199966430664,238.13999938964844,231.19000244140625,173.5399932861328,132.52389526367188,65.69000244140625,148.75,132.02999877929688,57.47999954223633,209.33999633789062,175.6300048828125,82.15648651123047,162.27999877929688,100.23999786376953,38.10246658325195,125.69000244140625,95.04719543457031,133.72999572753906,284.0899963378906,201.69000244140625,59.90999984741211,52.22999954223633,115.86000061035156,64.73999786376953,1
2020-01-28,79.42250061035156,224.83999633789062,132.4499969482422,316.55999755859375,136.74000549316406,182.85000610351562,47.77000045776367,111.12000274658203,57.939998626708984,138.3699951171875,28722.80078125,47.15999984741211,93.83999633789062,242.5800018310547,233.86000061035156,175.4600067138672,133.41299438476562,67.30999755859375,149.5,134.42999267578125,57.0099983215332,210.38999938964844,165.5800018310547,82.29962158203125,165.4600067138672,100.41000366210938,36.18595886230469,126.02999877929688,96.19886779785156,134.38999938964844,285.8699951171875,202.85000610351562,60.70000076293945,52.779998779296875,116.5999984741211,64.6500015258789,1
2020-01-29,81.08499908447266,227.14999389648438,131.67999267578125,322.0199890136719,135.77999877929688,181.77000427246094,47.04999923706055,110.37000274658203,57.689998626708984,136.05999755859375,28734.400390625,49.66999816894531,103.5199966430664,240.1199951171875,234.02000427246094,175.6699981689453,131.63479614257812,66.33000183105469,150.5399932861328,134.22999572753906,57.0099983215332,214.44000244140625,162.0,83.24427795410156,168.0399932861328,99.83999633789062,35.65464782714844,125.05999755859375,96.17369079589844,133.27000427246094,282.8999938964844,204.86000061035156,59.529998779296875,52.279998779296875,115.88999938964844,64.11000061035156,1
2020-01-30,80.96749877929688,226.14999389648438,133.22000122070312,323.29998779296875,135.3699951171875,185.6699981689453,47.2400016784668,111.4000015258789,52.720001220703125,137.80999755859375,28859.400390625,48.470001220703125,101.83999633789062,244.1300048828125,232.7899932861328,178.33999633789062,130.75526428222656,66.47000122070312,150.36000061035156,135.88999938964844,58.86000061035156,216.17999267578125,162.50999450683594,82.53816986083984,172.77999877929688,98.19000244140625,35.1707763671875,125.94999694824219,96.91629791259766,134.1999969482422,280.9800109863281,208.2100067138672,59.36000061035156,51.95000076293945,116.58000183105469,64.79000091552734,1
2020-01-31,77.37750244140625,216.0500030517578,129.8699951171875,318.2699890136719,131.35000610351562,182.30999755859375,45.970001220703125,107.13999938964844,51.18000030517578,138.30999755859375,28256.0,46.06999969482422,99.5999984741211,237.75,228.10000610351562,173.22000122070312,137.4091796875,63.93000030517578,148.8699951171875,132.36000061035156,58.400001525878906,213.97000122070312,158.66000366210938,81.52671813964844,170.22999572753906,96.30000305175781,35.332069396972656,124.62000274658203,94.52485656738281,131.6199951171875,272.45001220703125,198.97000122070312,59.439998626708984,50.849998474121094,114.48999786376953,62.119998931884766,1
2020-02-03,77.16500091552734,216.8800048828125,131.0,316.0,129.77000427246094,185.4199981689453,46.529998779296875,106.27999877929688,51.810001373291016,141.32000732421875,28399.80078125,46.7400016784668,98.08000183105469,239.00999450683594,231.5399932861328,171.32000732421875,139.8374786376953,64.41999816894531,150.1699981689453,133.3699951171875,58.58000183105469,215.17999267578125,156.58999633789062,83.3396987915039,174.3800048828125,99.2699966430664,35.588233947753906,125.11000061035156,94.36752319335938,133.61000061035156,274.0199890136719,200.80999755859375,58.04999923706055,50.95000076293945,114.2699966430664,60.72999954223633,1
