None,date,ticker,adj_close
2318,2017-06-28,ABC,95.481725110092
2319,2017-06-27,ABC,94.639647227299
2320,2017-06-26,ABC,95.095359963869
2321,2017-06-23,ABC,94.926944387311
2322,2017-06-22,ABC,95.471818311471
2323,2017-06-21,ABC,94.728808414889
2324,2017-06-20,ABC,92.38089714169
2325,2017-06-19,ABC,92.876237072744
2326,2017-06-16,ABC,91.667607640971
2327,2017-06-15,ABC,93.549899378979
2328,2017-06-14,ABC,93.024839052061
2329,2017-06-13,ABC,92.133227176162
2330,2017-06-12,ABC,91.499192064412
2331,2017-06-09,ABC,91.241615300264
2332,2017-06-08,ABC,90.716554973346
2333,2017-06-07,ABC,91.073199723705
2334,2017-06-06,ABC,90.835436556799
2335,2017-06-05,ABC,92.450244732037
2336,2017-06-02,ABC,92.707821496186
2337,2017-06-01,ABC,92.271922356858
2338,2017-05-31,ABC,90.914690945768
2339,2017-05-30,ABC,90.181587847807
2340,2017-05-26,ABC,90.151867451944
2341,2017-05-25,ABC,90.260842236776
2342,2017-05-24,ABC,89.131467193971
2343,2017-05-23,ABC,88.358736901526
2344,2017-05-22,ABC,88.646034061538
2345,2017-05-19,ABC,88.329016505663
2346,2017-05-18,ABC,85.882037246253
2347,2017-05-17,ABC,85.117479450999
2348,2017-05-16,ABC,87.919213823285
2349,2017-05-15,ABC,88.708434773225
2350,2017-05-12,ABC,87.554199133938
2351,2017-05-11,ABC,87.662717014554
2352,2017-05-10,ABC,86.952418159609
2353,2017-05-09,ABC,86.360502447154
2354,2017-05-08,ABC,85.4233025691
2355,2017-05-05,ABC,84.732734237903
2356,2017-05-04,ABC,85.364110997855
2357,2017-05-03,ABC,81.556119914396
2358,2017-05-02,ABC,81.546254652522
2359,2017-05-01,ABC,81.378545200659
2360,2017-04-28,ABC,80.944473678193
2361,2017-04-27,ABC,81.013530511312
2362,2017-04-26,ABC,80.155252728253
2363,2017-04-25,ABC,80.411749536983
2364,2017-04-24,ABC,79.849429610151
2365,2017-04-21,ABC,80.165117990127
2366,2017-04-20,ABC,81.260162058168
2367,2017-04-19,ABC,80.747168440708
2368,2017-04-18,ABC,81.447602033779
2369,2017-04-17,ABC,85.472628878472
2370,2017-04-13,ABC,85.502224664094
2371,2017-04-12,ABC,85.650203592208
2372,2017-04-11,ABC,86.686056089004
2373,2017-04-10,ABC,87.248376015836
2374,2017-04-07,ABC,86.439424542148
2375,2017-04-06,ABC,86.459155065896
2376,2017-04-05,ABC,86.005353019681
2377,2017-04-04,ABC,85.758721472825
2378,2017-04-03,ABC,86.153331947795
2379,2017-03-31,ABC,87.307567587082
2380,2017-03-30,ABC,87.938944347033
2381,2017-03-29,ABC,88.30395903638
2382,2017-03-28,ABC,86.321041399657
2383,2017-03-27,ABC,86.301310875908
2384,2017-03-24,ABC,85.393706783478
2385,2017-03-23,ABC,84.831386856646
2386,2017-03-22,ABC,84.722868976029
