Date,aapl,nflx
2014-06-26,20.47935676574707,62.801429748535156
2014-06-27,20.722671508789062,63.1542854309082
2014-06-30,20.93670082092285,62.94285583496094
2014-07-01,21.069625854492188,67.5857162475586
2014-07-02,21.060611724853516,66.67713928222656
2014-07-03,21.184520721435547,67.47856903076172
2014-07-07,21.621597290039062,65.8028564453125
2014-07-08,21.48191261291504,63.57857131958008
2014-07-09,21.490922927856445,63.28571319580078
2014-07-10,21.412071228027344,62.650001525878906
2014-07-11,21.452625274658203,62.8514289855957
2014-07-14,21.729738235473633,64.65428924560547
2014-07-15,21.475154876708984,64.15571594238281
2014-07-16,21.353492736816406,63.49142837524414
2014-07-17,20.972747802734375,62.76571273803711
2014-07-18,21.274639129638672,63.452857971191406
2014-07-21,21.164247512817383,64.56428527832031
2014-07-22,21.339975357055664,61.584285736083984
