DATE,DEXCHUS,DEXJPUS,DEXKOUS,DEXMAUS,DEXUSEU,DEXUSUK,DEXTHUS,DEXSZUS,CNY_SFR,YEN_SFR,WON_SFR,MYR_SFR,EUR_SFR,GBP_SFR,THB_SFR,USD_SFR,JPY_SFR,ret_USD_SFR,ret_YEN_SFR,ret_CNY_SFR,ret_WON_SFR,ret_MYR_SFR,ret_EUR_SFR,ret_GBP_SFR,ret_JPY_SFR,ret_THB_SFR
2009-11-24,6.8292,88.58,1154.5,3.386,1.4937,1.6577,33.22,1.0116,6.750889679715303,87.56425464610517,1141.2613681296955,3.347172795571372,0.6618015779626215,0.5963280551383048,32.839066824831946,0.9885330170027679,87.56425464610517,-0.0018782127323052622,-0.008148665961718704,-0.0019951230441375145,0.0002878501740917194,0.0019686841649613207,0.00019327253282819257,-0.0005535653703044874,-0.008148665961718704,-0.0012769345472044558
2009-11-25,6.8272,87.65,1153.0,3.369,1.5085,1.6671,33.11,1.0004,6.8244702119152345,87.61495401839265,1152.5389844062377,3.3676529388244707,0.6626451176241469,0.5996041988699092,33.096761295481805,0.9996001599360256,87.61495401839265,0.01119552179128358,0.0005789962181759201,0.010899382998513785,0.009881712105110463,0.006118639372367118,0.0012746111366526147,0.005493861480061701,0.0005789962181759201,0.00784719224892827
2009-11-26,6.8272,87.65,1153.0,3.369,1.5085,1.6671,33.11,1.0004,6.8244702119152345,87.61495401839265,1152.5389844062377,3.3676529388244707,0.6626451176241469,0.5996041988699092,33.096761295481805,0.9996001599360256,87.61495401839265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-27,6.8272,86.87,1173.4,3.3895,1.4963,1.6494,33.21,1.0063,6.784457915134652,86.32614528470636,1166.0538606777304,3.3682798370267317,0.6641311511852128,0.6024854137980078,33.00208685282719,0.9937394415184339,86.32614528470636,-0.0058630627049587325,-0.014709917366569014,-0.0058630627049587325,0.01172617712229096,0.00018615285293610562,0.0022425782995185717,0.00480519471599572,-0.014709917366569014,-0.0028605349571633187
2009-11-30,6.8265,86.12,1164.4,3.395,1.4994,1.6409,33.22,1.005,6.792537313432836,85.69154228855723,1158.6069651741295,3.378109452736319,0.663615363226551,0.606389710294284,33.05472636815921,0.9950248756218907,85.69154228855723,0.001293532338308534,-0.007351225912568982,0.0011908686588151252,-0.006386407827913443,0.0029182895083514904,-0.0007766356957377152,0.0064803170447960134,-0.007351225912568982,0.0015950359614156362
2009-12-01,6.827,86.62,1154.0,3.3765,1.51,1.6626,33.17,0.9984,6.837940705128205,86.75881410256412,1155.8493589743591,3.381911057692308,0.6633129563593141,0.6024314712513918,33.22315705128205,1.001602564102564,86.75881410256412,0.006610576923076872,0.01245480925542175,0.00668430508369533,-0.0023801049731786428,0.001125364648238314,-0.00045569600101869057,-0.0065275498177091995,0.01245480925542175,0.005095509829574185
2009-12-02,6.826,87.13,1149.0,3.3747,1.5059,1.6641,33.14,1.0006,6.821906855886469,87.0777533479912,1148.311013391965,3.372676394163502,0.6636565241942556,0.6005650861030766,33.12012792324605,0.9994003597841296,87.0777533479912,-0.002198680791525076,0.003676159577862048,-0.0023448359576607736,-0.006521910077523674,-0.0027306050843061147,0.0005179573708724572,-0.0030980870644727876,0.003676159577862048,-0.0031011239502907184
2009-12-03,6.8269,88.2,1150.0,3.368,1.5081,1.6578,33.1,0.9995,6.830315157578789,88.24412206103051,1150.5752876438219,3.3696848424212105,0.6634177111100474,0.603510827678286,33.11655827913957,1.0005002501250624,88.24412206103051,0.0011005502751373353,0.013394565984931939,0.0012325441947458327,0.0019718301274220806,-0.0008869963769629896,-0.0003598444006831514,0.004904949760439203,0.013394565984931939,-0.00010777869320910405
2009-12-04,6.8261,89.87,1151.0,3.378,1.4885,1.6515,33.12,1.0136,6.734510655090766,88.66416732438832,1135.5564325177584,3.3326756116811365,0.6628031429594796,0.5973856968181565,32.67561168113654,0.9865824782951854,88.66416732438832,-0.013910812943962014,0.004760036742926577,-0.014026366320991857,-0.013053344085652618,-0.010982994692608106,-0.0009263668127573732,-0.010149164818952783,0.004760036742926577,-0.01331498866175318
2009-12-07,6.8288,89.44,1152.45,3.395,1.482,1.6429,33.12,1.0199,6.695558388077263,87.69487204627904,1129.963721933523,3.3287577213452297,0.6615980318252471,0.5968033861860224,32.47377193842533,0.9804882831650161,87.69487204627904,-0.006177076183939589,-0.010932209790714964,-0.005783978823176716,-0.004925083795118135,-0.0011755990658599558,-0.0018182037110620053,-0.0009747649386914192,-0.010932209790714964,-0.006177076183939589
2009-12-08,6.8275,88.41,1151.22,3.393,1.4741,1.6302,33.15,1.0245,6.664226451927769,86.29575402635432,1123.6896046852123,3.3118594436310396,0.6621571776397864,0.5987522362647585,32.357247437774525,0.9760858955588092,86.29575402635432,-0.004489995119570489,-0.015954388064861713,-0.004679510555129496,-0.0055524944089131445,-0.005076451676201077,0.0008451443136805459,0.0032654809336631896,-0.015954388064861713,-0.0035882650426858342
2009-12-09,6.8275,87.83,1160.0,3.396,1.4725,1.6242,33.11,1.0262,6.6531865133502235,85.58760475540831,1130.38394075229,3.309296433443773,0.6617785497056906,0.599968547248879,32.26466575716235,0.9744689144416293,85.58760475540831,-0.0016565971545507985,-0.008206073160097138,-0.0016565971545507985,0.0059574601733127786,-0.0007738885755539382,-0.0005718097558731206,0.0020314095053879377,-0.008206073160097138,-0.0028612347447112274
