date,TBIL,AMZN,INTC,JNJ,JPM,KO,META,NFLX,PG,TSLA,XOM
01/08/24,0.0512,176.1300049,20.10000038,161.1270294,215.3105774,68.33960724,530.9946899,688.960022,169.1554413,210.6600037,114.7300034
02/08/24,0.0505,177.0399933,20.54000092,162.8936157,216.9803314,68.79303741,527.0716553,686.7299805,168.1811829,220.3200073,116.3199997
05/08/24,0.0509,175.5,20.12999916,163.3699951,217.8350983,69.82803345,520.2037354,688.4400024,169.3542938,213.2100067,118.8099976
06/08/24,0.0509,173.1199951,20.06999969,162.9499969,218.8389435,70.47860718,518.1872559,695.7199707,168.2607117,209.2100067,117.6800003
07/08/24,0.0509,170.8000031,19.61000061,163.9199982,219.9421844,70.72503662,515.8713989,683.8400269,168.0718231,205.75,116.5199966
08/08/24,0.0509,172.1199951,20.12999916,164.2299957,220.8565979,71.02075195,517.3087769,692.4799805,169.0361481,206.2799988,118.1299973
09/08/24,0.0509,178.5,22.04000092,165.8600006,223.4308167,71.43475342,520.3933716,701.3499756,170.537323,214.1100006,117.9400024
12/08/24,0.0507,176.25,20.10000038,167.1600037,218.9582214,71.96704102,510.8601685,675.3200073,173.4999084,210.6000061,115.4700012
13/08/24,0.0506,173.3300018,19.43000031,167.3600006,217.9941254,71.52346039,511.8384399,679.6799927,174.8718414,219.4100037,114.0599976
14/08/24,0.0507,177.8899994,19.39999962,164.9900055,216.3044891,70.15332031,515.9512329,683.6199951,174.4443512,230.1699982,113.1699982
15/08/24,0.0509,171.3899994,18.88999939,164.3800049,211.1659698,70.12374878,499.3903809,665.7700195,174.5636444,210.7299957,112.6399994
16/08/24,0.0508,175.3999939,19.06999969,166.6100006,215.4894714,70.82360077,503.9024353,675.4199829,175.030899,216.2700043,115.0100021
19/08/24,0.0506,179.5500031,18.97999954,167.3800049,204.3079987,70.52789307,503.9024353,673.6199951,176.7507935,226.1699982,110.8199997
20/08/24,0.0504,184.5200043,19.63999939,164.8200073,205.9678192,70.06460571,510.9300232,681.4699707,172.9034119,228.1300049,109.7200012
21/08/24,0.0502,187,19.36000061,164.6399994,205.3416748,70.21247101,524.6757813,686.7999878,172.4560394,229.8099976,111.2300034
22/08/24,0.0504,186.4900055,19.65999985,165.5200043,203.0755615,70.87245941,523.6975708,697.0599976,173.0624847,230.2899933,111.1500015
23/08/24,0.0501,184.8899994,20.90999985,166.9900055,206.5939941,71.55726624,532.8502197,696.5,176.20401,226.7799988,112.7099991
26/08/24,0.0498,186.8800049,21.46999931,167.0700073,207.9755249,71.25952911,535.8877563,706.9099731,174.8519592,227.8699951,114.1800003
27/08/24,0.0498,186.4299927,20.77000046,166.1499939,206.2659912,71.2098999,537.5164185,690.4699707,172.9034119,227.1999969,114.5800018
28/08/24,0.0496,189.8699951,21.13999939,164.8200073,209.1980286,70.08840942,558.649353,704.3200073,170.537323,243.9199982,116
29/08/24,0.0498,191.6000061,21.84000015,164.1600037,209.804306,71.1007309,560.897522,701.0300293,173.2016602,238.25,115.2699966
30/08/24,0.0498,193.8800049,22.55999947,163.2200012,210.1521912,71.19005585,563.9550781,705.3699951,172.754303,250,117.3600006
03/09/24,0.0497,193.9600067,22.80999947,162.7799988,210.3012695,70.7930603,562.8759766,722.2600098,172.2274017,254.2700043,117.0500031
04/09/24,0.0496,192.5299988,23.54000092,160.6000061,208.9098053,70.91215515,567.8519287,721.5599976,171.2531128,257.019989,114.7699966
05/09/24,0.0494,191.1600037,23.92000008,161.3899994,208.5022888,70.86253357,567.3823853,711.4299927,172.1975708,254.2200012,112.8000031
