date,AXON,BRENT,CEG,EVO,FIVE,HWM,MBLY,NFE,NVDA,NYCB,PLTR,QXO,SEDG,SGML,TBIL,TDOC,TPL,TRGP,UAL,VST,WOLF,SP500
2024-02-14,270.8399963,82.19000244,127.7827835,7.260000229,185.8300018,63.24045181,26.35000038,30.92276955,73.87905884,13.85071373,25.19000053,103.7037125,82.61000061,14.53999996,0.0523,20.65999985,469.2985535,86.8894,42.83000183,43.89883423,28.55999947,5000.620117
2024-02-15,272.7900085,82,130.5933,7.369999886,189.5599976,63.13069534,26.10000038,31.45371628,72.6374054,14.71638393,25.40999985,101.5709839,86.94000244,14.52000046,0.0523,21.61000061,485.9187622,91.73847198,42.83000183,45.00944901,28.02000046,5029.72998
2024-02-16,269.7999878,82.77,130.2556305,7.360000134,190.0099945,62.6816864,25.63,32.0142,72.59241486,14.62683201,24.44000053,97.37218475,85.05999756,14.85000038,0.0524,21.03000069,493.8401489,95.34822083,41.99,45.1978569,26.88999939,5005.569824
2024-02-20,267.7000122,81.6,130.8912048,7.380000114,191.8500061,62.97104645,25.28000069,31.41438866,69.43231201,13.99996662,23.39999962,101.970871,84.41999817,12.80000019,0.0524,20.48999977,487.0359192,94.77774048,43.45999908,45.76307678,25.29999924,4975.509766
2024-02-21,263.730011,82.86000061,130.4939575,7.340000153,189.6600037,63.38014603,24.5,31.85684586,67.4529,13.43280506,22.73999977,101.7709351,74.13999939,12.85000038,0.0524,15.64000034,497.2928772,95.86951447,44.04999924,45.79282761,25.45000076,4981.799805
2024-02-22,271.5400085,83.47000122,132.4702301,7.440000057,192.6600037,64.9167,24.26000023,31.04075813,78.51573944,13.79101181,23.59000015,105.1033173,69.93000031,11.88000011,0.0525,15.21000004,510.6988525,96.7449,45.26,47.2207489,25.28000069,5087.029785
2024-02-23,270.6300049,82.33999634,133.0661163,7.559999943,193.4700012,65.72496796,23.73999977,31.29640007,78.7947,13.49250603,22.96999931,109.3021088,67.35,11.47999954,0.0526,14.5,510.0259094,95.43673706,45.51,48.21236038,23.77000046,5088.799805
2024-02-26,271.5899963,83.02999878,132.3014221,7.630000114,196,65.715,24.38,30.82444572,79.06958771,13.16414738,23.55999947,119.4991989,67.08000183,12.51000023,0.0526,14.78999996,509.6567993,95.958,44.97000122,48.34127808,25.56999969,5069.529785
2024-02-27,271.8200073,83.66999817,154.6859741,7.650000095,200.7799988,65.82475281,25.36000061,31.28656578,78.6787,13.99996662,24.53000069,116.100174,69.33999634,13.22000027,0.0525,15.15999985,518.43396,95.48591614,44.90000153,50.55258179,25.96999931,5078.180176
2024-02-28,309.2200012,81.62000275,169.6520844,7.489999771,199.3399963,66.613,26.10000038,31.12924957,77.641,13.55220699,24.42000008,108.5689926,65.55999756,13.84000015,0.0524,15.09000015,503.7900696,95.80066681,44.76,52.5754776,25.54999924,5069.759766
2024-02-29,307.3699951,82.52999878,167.2884979,7.400000095,200.6799927,66.40348053,25.46999931,34.56074142,79.0896,14.29847431,25.07999992,100.238,67.16999817,14.22000027,0.0525,15.07999992,515.7892456,96.62686157,45.49,54.08273315,26.02000046,5096.27002
2024-03-01,314.25,83.65,168.8179,7.53,200.8099976,66.85248566,27.04999924,33.85281372,82.25567627,10.59698963,24.93000031,99.90479279,67.87999725,15.93000031,0.0523,15,512.6134033,97.7088089,44.84000015,54.04306793,28.43000031,5137.080078
2024-03-04,319.8800049,83.68000031,174.7764893,7.199999809,203.3300018,67.64073944,25.77000046,31.48321533,85.21282959,8.149234772,24.04000092,103.6370621,67.05999756,15.59000015,0.0524,14.72999954,503.6328735,99.33171082,44.13999939,56.5122,27.45999908,5130.950195
2024-03-05,315.1000061,83.62000275,175.5511017,6.909999847,204.9199982,67.81036377,24.95999908,32.89907455,85.94366455,9.611917496,23.80999947,100.437973,67.61000061,14.48999977,0.0523,14.39000034,496.2369995,100.836586,43.74,58.39625931,26.45999908,5078.649902
2024-03-06,314.9700012,83.55000305,178.7389679,7.070000172,208.1799927,68.6286,27.80999947,33.00722885,88.67901611,10.32833481,26.15999985,97.57213593,70.36000061,15.10999966,0.0524,14.57999992,486.3299255,102.5775223,44.06999969,60.38941193,27.70999908,5104.759766
2024-03-07,315.1300049,82.80000305,178.692215,7.150000095,206.9600067,69.22723389,28.38,33.05638885,92.6471,10.92534733,26.45999908,91.3739,75.26000214,14.60000038,0.0524,15.35000038,491.6272278,103.0103073,44.11999893,61.16287231,29.03000069,5157.359863
2024-03-08,312.7900085,82.04000092,169.7267761,7.099999905,204.8200073,67.59085083,27.60000038,32.20097351,87.5073,10.20893192,26.04000092,90.37419128,75.72000122,13.5,0.0524,15.42000008,500.1723328,102.1250839,43.29999924,59.98284912,27.97999954,5123.689941
2024-03-11,310.9299927,82.95999908,167.0799103,7.139999866,203.5800018,64.85688019,27.71999931,32.11248398,85.75370789,9.701469421,25.35000038,91.70713806,74.48999786,14.56999969,0.0524,15.59000015,508.4554749,102.8824387,42.88999939,57.5633049,28.06999969,5117.939941
2024-03-12,311.3699951,82.95999908,167.5376434,7.320000172,209.3399963,65.9245224,28.43000031,32.09281921,91.8913,10.26863289,24.70000076,93.7732,72.13999939,14.46000004,0.0525,15.36999989,515.805542,103.8168411,42.16999817,59.69528198,28.95999908,5175.27002
2024-03-13,306.7799988,82.08000183,167.0301666,7.070000172,206.5,65.48550415,28.75,31.91583824,90.86650085,11.19400406,25,96.10588074,67.85,14.71000004,0.0525,15.14000034,525.9549561,104.6725464,43.04000092,60.6472,27.56999969,5165.310059
2024-03-14,306.4299927,82.20999908,163.8260803,7.070000172,201.5500031,65.35578156,28.45999908,30.73230934,87.9232,11.19400406,24.43000031,89.17453003,64.56999969,14.26000023,0.0525,14.84000015,537.8525,103.9053574,42.84999847,62.58088303,26.03000069,5150.47998
2024-03-15,307.6499939,81.91999817,164.7017365,6.889999866,201.5700073,66.09415436,27.73999977,30.94928741,87.81621552,11.64176369,23.48999977,92.0404,61.56000137,12.94999981,0.0525,15.11999989,545.6052,104.2299423,43.61999893,61.04387665,26.07999992,5117.089844
2024-03-18,308.4500122,84.02999878,168.0053101,7.130000114,205.8999939,66.5930481,28.94000053,29.69672203,88.4340744,10.8357954,24,97.03894806,62.70000076,12.69999981,0.0525,15.11999989,546.7872314,105.5971222,43.54999924,61.9561615,25.04999924,5149.419922
