date,FOX,CBS,ABC
2014-11-04,30.87016872,50.21111925,83.94286428
2014-11-05,32.24046067,50.70366918,83.58116468
2014-11-06,32.74225772,50.34632903,83.19090984
2014-11-07,32.07641163,49.55438601,82.55317632
2014-11-10,32.12466135,50.34632903,83.48598057
2014-11-11,32.22116078,50.06625162,83.6953856
2014-11-12,32.02816191,49.80548989,84.43782164
2014-11-13,32.37555987,50.09522515,85.06603675
2014-11-14,32.52995897,51.58253278,84.8273018
2014-11-17,32.63610834,51.07066716,84.99919096
2014-11-18,32.58785863,50.74230054,85.71539581
2014-11-19,32.48170925,51.51492788,85.2952223
2014-11-20,32.61680846,51.83363666,84.89414759
2014-11-21,32.76155761,51.71774256,84.74135722
2014-11-24,33.24405477,51.69842688,85.98277895
2014-11-25,33.91955081,52.78010515,86.25016209
2014-11-26,33.63970245,52.34550227,86.03052594
2014-11-28,34.12219962,53.00223551,86.94726814
2014-12-01,34.46959758,52.606264,86.74673079
2014-12-02,34.53714718,52.45173853,87.89265854
2014-12-03,34.42134786,53.34025997,87.84491155
2014-12-04,34.88454514,52.97326199,87.80671396
2014-12-05,35.24159304,53.20505019,88.0549983
2014-12-08,34.92314491,51.77568961,88.38922723
2014-12-09,34.50819735,50.82922112,87.94040553
2014-12-10,34.3634482,49.96721642,86.82312597
2014-12-11,34.49854741,50.83890656,88.37967783
2014-12-12,34.21869905,51.79776573,86.88042236
2014-12-15,33.92920075,51.23600985,86.60348982
2014-12-16,33.61075262,50.47085961,85.40026568
2014-12-17,34.54197215,51.6234277,86.47934764
2014-12-18,35.12579372,52.88253569,87.16690429
2014-12-19,35.75786501,53.44429157,87.54888021
2014-12-22,36.17763755,52.92127748,87.79716456
2014-12-23,35.9991136,54.07384556,87.30059587
2014-12-24,36.02323845,53.94793476,87.47248503
2014-12-26,36.01358851,54.21912725,87.38654045
2014-12-29,36.18246252,54.67434322,87.50113322
2014-12-30,35.8784893,54.07384556,87.16690429
2014-12-31,35.59864095,53.5992587,86.09737173
2015-01-02,35.24159304,53.06655917,86.38385366
2015-01-05,34.51784729,52.55323052,85.64855002
2015-01-06,34.03535013,51.51688779,86.11647052
2015-01-07,32.77120755,51.43940422,87.83536215
2015-01-08,32.92560664,52.04958733,88.03589951
2015-01-09,32.65540823,52.84379391,88.80940074
2015-01-12,32.6264584,53.12467184,86.83267537
2015-01-13,32.38520982,53.8510803,87.51068262
2015-01-14,32.13431129,52.75662489,87.94995492
2015-01-15,31.96061231,51.86556385,87.28149707
2015-01-16,32.41415965,53.81233852,88.25553566
2015-01-20,31.63251424,53.7251695,88.27463445
2015-01-21,31.50706497,54.42252162,88.59931398
2015-01-22,32.21633581,54.94553571,89.9075815
2015-01-23,32.07641163,54.12227279,90.46144658
2015-01-26,32.25011061,55.26515543,91.53097915
2015-01-27,31.83033808,55.28452632,91.59782493
2015-01-28,31.21756667,54.51937608,92.02754784
2015-01-29,31.42986543,53.96730565,91.99889965
2015-01-30,30.73506951,53.08593006,90.76702731
2015-02-02,31.32371605,53.62831504,90.86252129
2015-02-03,32.15843615,55.12955919,91.33044179
2015-02-04,32.25976055,54.95522116,91.55007794
2015-02-05,30.66751991,54.23849815,91.99889965
2015-02-06,31.42504046,54.95522116,92.6673575
2015-02-09,31.84481299,54.97459205,91.25404661
2015-02-10,32.09571152,55.20704275,92.54321533
2015-02-11,32.39485976,54.9649066,94.29075515
