date,AAPL,AMZN,FB,GOOG,NFLX
2015-06-17,121.91344840615,427.81,81.79,529.26,94.27142857142857
2015-06-18,122.46890638003,439.39,82.905,536.73,94.74285714285715
2015-06-19,121.24306809283999,434.92,82.51,536.69,93.87142857142857
2015-06-22,122.21033111633001,436.29,84.74,538.19,96.41428571428571
2015-06-23,121.65487314244,445.99,87.88,540.48,97.31285714285713
2015-06-24,122.68917419726002,440.84,88.86,537.84,96.94428571428571
2015-06-25,122.10498563851999,440.1,87.98,535.23,94.89142857142856
2015-06-26,121.38672101712,438.1,88.01,531.69,93.08857142857143
2015-06-29,119.26065773776001,429.86,85.8,521.52,92.23142857142857
2015-06-30,120.11778685264,434.09,85.765,520.51,93.84857142857143
2015-07-01,121.24306809283999,437.39,86.91,521.84,93.63571428571429
2015-07-02,121.08983830693998,437.71,87.285,523.4,94.04428571428569
2015-07-06,120.66845639571001,436.04,87.55,522.86,94.57142857142857
2015-07-07,120.37157368553001,436.72,87.22,525.02,94.09142857142857
2015-07-08,117.38359286049999,429.7,85.65,516.83,93.50714285714285
2015-07-09,114.98937745581999,434.39,85.88,520.68,95.72714285714285
2015-07-10,118.06355003542,443.51,87.95,530.13,97.22857142857143
2015-07-13,120.34284310068001,455.57,90.1,546.55,101.08714285714285
2015-07-14,120.29495879258002,465.57,89.68,561.1,100.37142857142857
2015-07-15,121.45375904845,461.19,89.76,560.22,98.13
2015-07-16,123.07224866201,475.48,90.85,579.85,115.81
2015-07-17,124.13528030168999,483.01,94.97,672.93,114.77
2015-07-20,126.48161139826999,488.1,97.91,663.02,110.55
2015-07-21,125.21746566459998,488.0,98.39,662.3,112.51
2015-07-22,119.92146118945,488.27,97.04,662.1,111.5
2015-07-23,119.86400001973999,482.18,95.44,644.28,110.1
2015-07-24,119.23192715291,529.42,96.95,623.56,109.34
2015-07-27,117.57513009286998,531.41,94.17,627.26,106.43
2015-07-28,118.15931865161001,526.03,95.29,628.0,106.9
2015-07-29,117.78582104848,529.0,96.99,631.93,107.08
2015-07-30,117.19205562812,536.76,95.21,632.59,111.56
2015-07-31,116.16733143491999,536.15,94.01,625.61,114.31
2015-08-03,113.42834901196998,535.03,94.14,631.21,112.56
2015-08-04,109.78914159685999,531.9,94.06,629.25,121.15
2015-08-05,110.51698307988,537.01,96.44,643.78,123.71
2015-08-06,110.75640462035,529.46,95.12,642.68,126.45
2015-08-07,111.13158917522,522.62,94.3,635.3,123.52
2015-08-10,115.17203822764,524.0,94.15,633.73,123.03
2015-08-11,109.17870546655001,527.46,93.62,660.78,122.74
2015-08-12,110.86222590506,525.91,94.19,659.56,120.51
2015-08-13,110.77564485392999,529.66,93.43,656.45,123.73
2015-08-14,111.55487431403999,531.52,94.42,657.12,123.39
2015-08-17,112.70928832902,535.22,93.93,660.87,125.36
2015-08-18,112.07436062078001,535.02,95.17,656.13,124.05
2015-08-19,110.64096321885,532.92,95.31,660.9,122.06
2015-08-20,108.37061565606,515.78,90.56,646.83,112.49
2015-08-21,101.74235518673001,494.47,86.06,612.48,103.96
2015-08-24,99.202644353779,463.37,82.09,589.61,96.88
2015-08-25,99.79909159485099,466.37,83.0,582.06,101.52
2015-08-26,105.52306108578001,500.77,87.19,628.62,110.13
2015-08-27,108.63035880943,518.37,89.73,637.61,117.66
2015-08-28,108.98630313071999,518.01,91.01,630.38,117.63
2015-08-31,108.47643694077,512.89,89.43,618.25,115.03
2015-09-01,103.62789807786,496.54,87.23,597.79,105.79
2015-09-02,108.07239203553002,510.55,89.89,614.34,105.44
2015-09-03,106.1772290276,504.72,88.15,606.25,101.06
2015-09-04,105.11901618054002,499.0,88.26,600.7,98.79
2015-09-08,108.04353168515,517.54,89.53,614.66,94.95
