date,AAPL,AMZN,BA,GOOG,IBM,MGM,T,TSLA,SP500
14/10/2014,93.40902851,308.31,111.5503921,537.94,163.9360473,20.39586529,28.98203198,227.06,1877.699951
15/10/2014,92.26447231,305.97,109.6348158,530.03,162.1075985,20.17825664,29.00772527,229.7,1862.48999
16/10/2014,91.05370212,302.86,109.7260337,524.51,160.4040193,21.15749556,28.81074337,226.35,1862.76001
17/10/2014,92.38744116,303.64,112.4169623,511.17,162.3751764,21.47401724,29.1875783,227.48,1886.76001
20/10/2014,94.36440186,306.21,113.3929941,520.84,150.8247313,21.46412594,29.35886691,230.47,1904.01001
21/10/2014,96.92782938,315.33,115.9562176,526.54,145.5891241,22.20597361,29.65005754,235.34,1941.280029
22/10/2014,97.41970477,312.97,110.7841616,532.71,144.3047503,21.87956063,29.54728437,231.1,1927.109985
23/10/2014,99.16018692,313.18,111.3132255,543.98,144.6526015,22.11695189,28.82787223,235.29,1950.819946
24/10/2014,99.52909347,287.06,111.5047832,539.78,144.5634089,22.33456054,29.00772527,235.24,1964.579956
27/10/2014,99.4250429,289.97,111.3953217,540.77,144.3761044,22.42358226,29.21327159,221.67,1961.630005
28/10/2014,100.9668831,295.59,112.7544686,548.9,145.9191368,22.66097351,29.40168906,242.77,1985.050049
29/10/2014,101.5344316,294.12,112.2710137,549.33,145.7942671,22.64119091,29.46164007,238.1,1982.300049
30/10/2014,101.1939025,299.07,112.9460263,550.31,146.5880815,22.73021263,29.5558488,238.66,1994.650024
31/10/2014,102.158735,305.46,113.9403016,559.08,146.6326778,22.99727779,29.838475,241.7,2018.050049
03/11/2014,103.4830149,305.72,114.9619423,555.22,146.5970008,22.76977784,29.838475,242.59,2017.810059
04/11/2014,102.7262835,302.81,114.7886282,554.11,145.0718069,22.08727798,29.79565285,238.93,2012.099976
05/11/2014,102.9722212,296.52,113.9767887,545.92,144.3315081,21.48390854,29.90699044,230.97,2023.569946
06/11/2014,103.2654546,296.64,114.307103,542.04,144.9915335,21.63227807,29.73570184,241.22,2031.209961
07/11/2014,103.5599559,299.86,114.1878229,541.01,145.5393152,21.70151719,29.89842601,240.2,2031.920044
10/11/2014,103.3889551,305.11,114.3621554,547.49,146.8144792,21.89934324,30.07827905,241.93,2038.26001
11/11/2014,104.2154588,312.01,115.0227841,550.29,146.6438587,22.31477793,30.06115019,251.08,2039.680054
12/11/2014,105.6879653,311.51,115.4907293,547.31,145.4046148,22.29499533,30.3180831,249.1,2038.25
13/11/2014,107.1794718,316.48,117.9313851,545.38,146.1858772,22.40379965,30.49793613,251.7,2039.329956
14/11/2014,108.4714775,327.82,118.2341732,544.4,147.4161411,22.47303877,30.74630461,258.68,2039.819946
17/11/2014,108.2909767,323.05,117.8304557,536.51,147.4161411,22.1762997,30.70348246,253.98,2041.319946
18/11/2014,109.6969829,324.93,119.8857448,535.03,145.3776747,22.14662579,30.59214486,257.7,2051.800049
19/11/2014,108.9369796,326.54,120.7574075,536.99,144.9645934,21.94879975,30.2923898,247.74,2048.719971
20/11/2014,110.4949864,330.54,120.8399861,534.83,144.2551712,21.94879975,30.21530993,248.71,2052.75
21/11/2014,110.6469871,332.63,121.8309291,537.5,144.506612,22.47303877,30.21530993,242.78,2063.5
24/11/2014,112.6942461,335.64,123.5100268,539.27,145.6111554,22.6016257,29.71857298,246.72,2069.409912
25/11/2014,111.7204918,335.04,123.6935348,541.08,145.2609343,22.56206049,29.82134614,248.09,2067.030029
26/11/2014,113.0504977,333.57,123.6660086,540.37,145.4315549,22.57195179,30.08684348,248.44,2072.830078
28/11/2014,112.9839974,338.64,123.2806419,541.83,145.6291155,22.56206049,30.30095424,244.52,2067.560059
01/12/2014,109.3169812,326,121.4730886,533.8,145.0633737,22.02793017,30.02689247,231.64,2053.439941
02/12/2014,108.8989794,326.31,121.3721592,533.75,146.0781169,21.92901714,29.36743134,231.43,2066.550049
03/12/2014,110.1339848,316.5,121.0877219,531.32,147.7394221,21.88945193,29.11906286,229.3,2074.330078
04/12/2014,109.715983,316.93,120.491321,537.31,147.3173608,21.7311911,29.04198299,228.28,2071.919922
05/12/2014,109.250481,312.63,121.3079314,525.26,146.6169186,21.67184328,29.06767628,223.71,2075.370117
08/12/2014,106.7804701,306.64,119.5370797,526.98,145.3507346,21.41466942,29.0162897,214.36,2060.310059
09/12/2014,108.4144773,312.5,118.968205,533.37,146.3654778,21.27619119,28.1684111,216.89,2059.820068
10/12/2014,106.3529682,305.84,114.3621554,526.06,144.1384308,20.49477831,27.82583389,209.84,2026.140015
11/12/2014,106.0394668,307.36,113.1968799,528.34,144.6413124,20.31673487,28.01425136,208.88,2035.329956
12/12/2014,104.2439589,307.32,110.8112766,518.66,139.5316764,19.96064799,27.54320769,207,2002.329956
15/12/2014,102.8142026,306.07,112.0132537,513.8,137.4483099,19.60456111,27.62028757,204.04,1989.630005
16/12/2014,101.4081964,295.06,114.0043149,495.39,135.9666053,18.64510479,27.52607883,197.81,1972.73999
17/12/2014,103.9399576,298.88,114.7475221,504.89,136.4335667,17.8142354,27.97999364,205.82,2012.890015
18/12/2014,107.0179711,297.73,115.3072214,511.1,141.5970829,19.18912641,28.69940578,218.26,2061.22998
19/12/2014,106.1914675,299.9,115.8210436,516.35,142.3424252,20.10901752,28.72509907,219.29,2070.649902
22/12/2014,107.2934723,306.54,117.6469478,524.87,144.9735734,20.05956101,28.99059641,222.6,2078.540039
23/12/2014,106.9134707,306.285,119.3076947,530.59,145.6919757,20.71238696,29.14475615,220.97,2082.169922
24/12/2014,106.4099684,303.03,120.4179178,528.77,145.3148145,20.54423482,29.08480514,222.26,2081.879883
26/12/2014,108.2909767,309.09,120.7757583,534.03,145.781776,20.8805391,29.26465817,227.82,2088.77002
29/12/2014,108.2149764,312.04,121.3813346,530.33,144.1384308,21.24651729,29.21327159,225.71,2090.570068
30/12/2014,106.8944706,310.3,120.9592663,530.42,143.7253495,21.21684338,29.1875783,222.23,2080.350098
31/12/2014,104.8614616,310.35,119.2618177,526.4,144.0755706,21.14760426,28.76792122,222.41,2058.899902
02/01/2015,103.8639572,308.52,119.2342915,524.81,145.5303352,20.79151738,29.00772527,219.31,2058.199951
05/01/2015,100.9379444,302.19,118.4085058,513.87,143.240428,20.21782185,28.7336635,210.09,2020.579956
06/01/2015,100.9474444,295.29,117.0138453,501.96,140.1512984,19.44630027,28.77648565,211.28,2002.609985
07/01/2015,102.3629506,298.42,118.8305741,501.1,139.2353355,20.20793055,28.81074337,210.95,2025.900024
08/01/2015,106.2959679,300.46,120.9317401,502.68,142.261605,20.49477831,29.09737422,210.615,2062.139893
09/01/2015,106.4099684,296.93,120.6931798,496.17,142.8812269,20.28706096,29.01051639,206.66,2044.810059
12/01/2015,103.7879569,291.41,120.0784281,492.55,140.4835594,20.0002132,29.08868844,202.21,2028.26001
13/01/2015,104.709461,294.74,120.3536901,496.18,140.8158204,20.12880013,29.08868844,204.25,2023.030029
14/01/2015,104.3104592,293.27,119.6288336,500.87,139.9088376,20.0101045,28.9497159,192.69,2011.27002
15/01/2015,101.4794467,286.95,119.4086241,501.79,138.8042941,20.0199958,28.88891542,191.87,1992.670044
16/01/2015,100.6909433,290.74,119.9958495,508.08,141.1121614,19.79249585,29.35794772,193.07,2019.420044
20/01/2015,103.2844547,289.44,120.399567,506.9,140.9415408,18.92206125,29.48823447,191.93,2022.550049
