Date,AAP,ABMD,AOS,APA,ATO,CBOE,Brent,COP,CVX,DVA,DVN,ET,FFIV,FTI,HII,HSIC,IFF,IPGP,IRM,IVZ,JNPR,LNC,LPG,MOS,NCLH,NI,NOV,PRGO,PVH,QCOM,SEE,UNM,WU,XRAY,SP500,rf
2015-06-18,156.04249572753906,67.16000366210938,33.56629943847656,50.14412307739258,45.78029251098633,56.14486312866211,60.45000076293945,52.663230895996094,75.7994613647461,81.44999694824219,52.437015533447266,20.45760726928711,126.94000244140625,29.31183433532715,106.52413940429688,56.89019775390625,98.50059509277344,91.51000213623047,21.319272994995117,29.781660079956055,23.959226608276367,51.47091293334961,14.252137184143066,40.345035552978516,56.09000015258789,15.777261734008789,45.90603256225586,174.34837341308594,112.32711029052734,54.77911376953125,47.1131591796875,29.95838737487793,16.895219802856445,50.849571228027344,2121.239990234375,3.0000000260770322e-05
2015-06-19,156.2859649658203,67.7300033569336,33.55718994140625,49.539546966552734,45.6158447265625,55.93425750732422,59.61000061035156,52.177852630615234,75.2096939086914,82.19000244140625,52.035884857177734,20.08175277709961,126.91999816894531,29.01968765258789,106.03656005859375,56.79999923706055,98.0486831665039,92.9000015258789,21.182405471801758,29.32927894592285,23.41802215576172,50.9862174987793,13.873435020446777,40.174800872802734,55.97999954223633,15.560296058654785,46.027610778808594,171.31103515625,113.72637176513672,54.38874816894531,47.44160079956055,29.787189483642578,16.91109848022461,50.72527313232422,2109.989990234375,3.0000000260770322e-05
2015-06-22,158.97349548339844,68.36000061035156,33.68931579589844,50.4069709777832,45.65911865234375,55.90554428100586,59.68000030517578,52.37032699584961,75.82971954345703,82.12999725341797,52.36021041870117,19.10394859313965,127.87999725341797,29.005775451660156,106.56022644042969,57.14117431640625,98.66573333740234,93.30999755859375,21.364900588989258,29.351896286010742,23.21184730529785,51.87907791137695,14.196717262268066,40.309200286865234,56.77000045776367,15.64449405670166,45.97148513793945,171.19070434570312,113.76605987548828,54.77911376953125,47.587581634521484,30.080665588378906,17.046070098876953,51.069496154785156,2122.85009765625,3.0000000260770322e-05
2015-06-23,159.58692932128906,67.4000015258789,33.698429107666016,51.563541412353516,45.46002960205078,55.4268913269043,61.0099983215332,52.86407470703125,75.67847442626953,81.56999969482422,52.4284782409668,18.81324577331543,127.54000091552734,29.374433517456055,107.71595764160156,57.12941360473633,98.38763427734375,94.2300033569336,21.228029251098633,29.517770767211914,23.35788917541504,52.42329406738281,14.335267066955566,40.56007766723633,56.470001220703125,15.336846351623535,45.868621826171875,175.376220703125,113.98440551757812,54.470088958740234,47.368621826171875,30.284465789794922,17.014312744140625,50.7730712890625,2124.199951171875,8.000000379979611e-05
2015-06-24,159.12930297851562,66.6500015258789,33.302024841308594,51.44087600708008,44.966651916503906,54.680213928222656,60.27000045776367,52.57954406738281,75.05847930908203,80.19000244140625,52.138301849365234,19.009979248046875,126.04000091552734,29.43008041381836,104.98016357421875,56.59607696533203,98.30908966064453,89.70999908447266,20.628402709960938,29.291580200195312,23.091575622558594,51.76002502441406,13.938091278076172,40.53319549560547,56.63999938964844,15.220266342163086,46.09306716918945,175.16326904296875,112.82329559326172,53.14451217651367,47.24089431762695,29.974689483642578,16.784069061279297,49.99080276489258,2108.580078125,4.9999998882412914e-05
2015-06-25,159.88882446289062,66.05000305175781,33.3658332824707,50.64354705810547,44.72429656982422,55.10141372680664,59.70000076293945,52.069061279296875,74.35527038574219,80.91000366210938,51.53232955932617,18.55191421508789,126.55000305175781,29.374433517456055,104.90795135498047,56.66274642944336,98.28290557861328,85.87999725341797,20.498050689697266,29.05785369873047,23.16029930114746,51.32634735107422,14.150533676147461,41.40226364135742,56.59000015258789,15.071298599243164,45.79381561279297,175.2095489501953,115.36380004882812,53.071327209472656,47.304744720458984,29.6649169921875,16.569700241088867,50.105709075927734,2102.31005859375,4.9999998882412914e-05
2015-06-26,159.9667205810547,66.75,33.45238494873047,51.23935317993164,44.79353713989258,54.85252380371094,59.630001068115234,52.035587310791016,74.55188751220703,81.08000183105469,51.60062026977539,19.133310317993164,123.56999969482422,29.214447021484375,103.68901062011719,57.039215087890625,98.28290557861328,84.12999725341797,20.765274047851562,29.072927474975586,22.84244728088379,51.80253982543945,14.169007301330566,41.70690155029297,56.599998474121094,14.977389335632324,46.20527648925781,176.4503936767578,114.61952209472656,52.591522216796875,47.98900604248047,29.974689483642578,16.3632755279541,50.105709075927734,2101.489990234375,4.9999998882412914e-05
2015-06-29,154.75721740722656,65.33000183105469,32.61404037475586,50.1265869140625,44.51655578613281,54.62277603149414,58.33000183105469,51.05646514892578,73.10771942138672,79.61000061035156,50.200927734375,18.85729217529297,120.05000305175781,28.379751205444336,101.53108978271484,55.77254867553711,95.37683868408203,82.26000213623047,20.263412475585938,28.198326110839844,22.430097579956055,49.87228012084961,14.547709465026855,41.12453079223633,55.400001525878906,14.880241394042969,45.41976547241211,170.5146942138672,112.11872863769531,50.924407958984375,47.21351623535156,29.045366287231445,16.164783477783203,49.148216247558594,2057.639892578125,4.9999998882412914e-05
2015-06-30,155.1077117919922,65.7300033569336,32.796287536621094,50.49459457397461,44.386714935302734,54.77593994140625,59.470001220703125,51.391204833984375,72.94137573242188,79.47000122070312,50.77275085449219,18.84261131286621,120.3499984741211,28.859708786010742,101.65750122070312,55.733333587646484,95.37683868408203,85.18000030517578,20.204755783081055,28.26618194580078,22.30982780456543,50.35697937011719,15.406717300415039,41.97568893432617,56.040000915527344,14.763657569885254,45.1485710144043,171.15362548828125,114.32179260253906,50.93254470825195,46.87595748901367,29.1431884765625,16.140968322753906,49.358863830566406,2063.110107421875,9.999999776482583e-05
2015-07-01,158.37950134277344,66.16000366210938,33.43416213989258,49.136505126953125,44.55983352661133,55.982120513916016,56.959999084472656,50.236358642578125,72.65404510498047,79.31999969482422,49.270652770996094,18.522550582885742,120.26000213623047,27.579833984375,102.74097442626953,56.56470489501953,96.1884536743164,84.66000366210938,20.517597198486328,28.507455825805664,22.593318939208984,50.79064178466797,15.554503440856934,41.868160247802734,56.189998626708984,14.7183198928833,43.90483093261719,171.3666229248047,116.34625244140625,51.15211486816406,47.45985794067383,29.420351028442383,16.188602447509766,49.54077911376953,2077.419921875,3.0000000260770322e-05
