Dates,ticker,return,momentum,dividend_yield,Industrials,United States,market_intercept,Healthcare,Technology,Utilities,Financial Services,Basic Materials,Consumer Defensive,Ireland,Energy,Communication Services,Consumer Cyclical,value,size,trading_activity,growth,leverage,profitability
2019-12-23,DIS,-0.005132603,0.950687728,-0.355996857,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.422140081,0.378897835,-0.326339189,-0.357275291,-0.660545912,-0.195788052
2019-12-30,DIS,0.012915849,0.940402739,-0.357276197,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.419277817,0.375934608,-0.198086418,-0.35708733,-0.660545912,-0.195788052
2020-01-06,DIS,0.002007222,0.890454105,-0.356467618,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.436129085,0.384375407,-0.285470056,-0.357926015,-0.524253961,-0.15194963
2020-01-13,DIS,0.029888656,0.88775167,-0.356491383,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.419218315,0.378288985,-0.661470149,-0.357675262,-0.524253961,-0.151912024
2020-01-20,DIS,0.012716176,0.870119951,-0.360618462,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.405743611,0.374260701,-0.139469013,-0.358571812,-0.524253961,-0.152010493
2020-01-27,DIS,-0.01940423,0.893671006,-0.362260444,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.391380136,0.373776135,-0.176703981,-0.357356541,-0.524253961,-0.136991521
2020-02-03,DIS,0.010550504,0.859798733,-0.370709088,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.405351141,0.373084643,-0.227278212,-0.360572015,-0.526967913,-0.14458875
2020-02-10,DIS,0.004093159,0.887433051,-0.370146272,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.38560541,0.380831526,0.297979382,-0.357107772,-0.526967913,-0.131062382
2020-02-17,DIS,0.166543963,0.893962874,-0.374302154,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.366713429,0.375721308,-0.305786218,-0.358093888,-0.526967913,-0.131559361
2020-02-24,DIS,0.020436955,0.879646664,-0.371838334,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.366555697,0.378605589,-0.503568057,-0.357059834,-0.526967913,-0.146353328
2020-03-02,DIS,0.117219305,0.788373187,-0.380236592,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.330277332,0.362974249,0.479257313,-0.359002736,-0.526967913,-0.144377482
2020-03-09,DIS,0.175943119,0.834710038,-0.426228262,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.31916687,0.291694774,0.033621254,-0.402498072,-0.541081924,-0.153472547
2020-03-16,DIS,-0.114391467,0.778818592,-0.42305147,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.321265135,0.429995496,0.544117297,-0.266774127,-0.520140118,-0.183651724
2020-03-23,DIS,0.026488876,0.816000909,-0.412996763,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.299157466,0.354985998,0.686463221,-0.356801363,-0.527365873,-0.142354115
2020-03-30,DIS,-0.10716973,0.847226238,-0.399223134,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.334962645,0.364514521,0.426047982,-0.353808611,-0.527365873,-0.143640994
2020-04-06,DIS,-0.020177801,0.843497198,-0.417719972,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.307610981,0.320669173,0.009583826,-0.393475079,-0.422489647,-0.275720621
2020-04-13,DIS,0.05236491,0.920385655,-0.406943928,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.306057897,0.368495084,0.358322657,-0.362541355,-0.442523668,-0.250518324
2020-04-20,DIS,-0.041710991,0.950922345,-0.398225238,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.31154427,0.356985991,0.245702281,-0.355278522,-0.442523668,-0.249302781
2020-04-27,DIS,-0.034103776,0.9545058,-0.405155892,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.285004352,0.351239256,0.186599398,-0.362313286,-0.442523668,-0.237809831
2020-05-04,DIS,0.001008209,0.898234451,-0.428181521,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.33898453,0.465959568,0.059924159,-0.297197572,-0.427304702,-0.075969565
2020-05-11,DIS,-0.079047553,1.019195964,-0.418977702,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.319782351,0.35960774,1.657402318,-0.381117053,-0.451010503,-0.224295623
2020-05-18,DIS,0.006119292,1.063476075,-0.429764475,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.347118761,0.368726567,0.721260325,-0.379265112,-0.451010503,-0.224337443
2020-05-25,DIS,-0.062137915,1.051473017,-0.420015291,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.367359778,0.377433093,0.730702103,-0.380889394,-0.451010503,-0.235918822
2020-06-01,DIS,0.077688769,1.013311357,-0.430503102,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.337740078,0.371313593,-0.057635272,-0.380780003,-0.451010503,-0.236012842
2020-06-08,DIS,0.009920021,1.085221476,-0.423265538,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.333389127,0.367948262,-0.254696966,-0.380663476,-0.453866397,-0.228713477
2020-06-15,DIS,0.046999028,1.133453409,-0.433631995,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.328638108,0.405297108,-0.077374883,-0.323485661,-0.478124942,-0.236100819
2020-06-22,DIS,-0.027839848,1.142967755,-0.416890488,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.313895727,0.356793539,-0.044432566,-0.385563943,-0.453866397,-0.236720464
2020-06-29,DIS,-0.061871805,1.162209686,-0.412505578,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.32696666,0.353428178,0.241838971,-0.38802755,-0.453866397,-0.240577165
2020-07-06,DIS,0.005798536,1.19152497,-0.420465496,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.355419771,0.351844004,-0.172904349,-0.389966806,-0.164433519,-1.780847831
2020-07-13,DIS,0.008803925,1.226472425,-0.421981819,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.386239622,0.363637486,0.077515962,-0.391527589,-0.164433519,-1.683259478
2020-07-20,DIS,0.005713067,1.209154787,-0.425374291,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.367528947,0.355203897,2.04E-05,-0.398669757,-0.164433519,-1.688723864
2020-07-27,DIS,-0.105334784,1.168104817,-0.426150051,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.369361623,0.354946001,-0.294086309,-0.400830916,-0.164433519,-1.689719938
2020-08-03,DIS,-0.004607289,1.190720984,-0.434037435,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.374397574,0.35482445,-0.407449354,-0.405297725,-0.149875998,-1.727079024
2020-08-10,DIS,0.023957391,1.158776618,-0.428989186,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.394407613,0.314779151,1.37946479,-0.457360197,-0.116842762,-1.689466315
2020-08-17,DIS,-0.061621065,1.212810837,-0.426284248,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.415396352,0.344050607,-0.275812073,-0.417499873,-0.149875998,-1.717924071
2020-08-24,DIS,0.026540546,1.186641042,-0.432783467,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.403405715,0.338763186,-0.525812992,-0.418205698,-0.149875998,-1.718315953
2020-08-31,DIS,0.001820016,1.231421523,-0.429836161,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.424735785,0.346616495,-0.210676129,-0.418204948,-0.149875998,-1.718371444
2020-09-07,DIS,0.023966083,1.296302657,-0.438663892,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.414230747,0.342241826,-0.386251578,-0.417853217,-0.149355443,-1.71827342
2020-09-14,DIS,0.036658538,1.317249737,-0.430636681,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.426737398,0.348147952,-0.231590666,-0.418440141,-0.149355443,-1.71827342
2020-09-21,DIS,0.011762431,1.343173107,-0.425055857,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.40866005,0.338888722,-0.562098379,-0.420309193,-0.149355443,-1.724838455
2020-09-28,DIS,-0.019634616,1.187212508,-0.425380469,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.401264911,0.335158243,-0.48755177,-0.421154384,-0.149355443,-1.725169188
2020-10-05,DIS,-0.014536133,1.391060439,-0.417954767,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.388315666,0.357475259,-0.497003355,-0.403193393,-0.028960286,-1.672226672
2020-10-12,DIS,-0.012071071,1.447774852,-0.429759683,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.366698371,0.309006297,-0.264153038,-0.419899488,-0.239863829,-1.775589863
2020-10-19,DIS,0.056906425,1.498103358,-0.437796996,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.371866812,0.31166544,0.1133431,-0.42159171,-0.239863829,-1.779582964
2020-10-26,DIS,-0.049948053,1.335711987,-0.435360685,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.387835865,0.313226479,-0.665060977,-0.423663066,-0.239863829,-1.780319854
2020-11-02,DIS,-0.082056406,0.883827596,-0.426143113,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.382729482,0.311633417,-0.535919723,-0.432296877,-0.239863829,-1.684501693
2020-11-09,DIS,-0.019397285,0.971495112,-0.439611169,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.391758259,0.220229998,-0.660794987,-0.474673481,-0.217364501,-1.631748152
2020-11-16,DIS,-0.04206031,1.495576476,-0.455540246,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.436067876,0.380345419,0.49395471,-0.415788851,-0.253307878,-1.494400836
2020-11-23,DIS,-0.046544693,1.438795857,-0.434634957,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.412661168,0.3095426,-0.043090506,-0.44594412,-0.229914665,-1.505196068
2020-11-30,DIS,-0.13103055,1.449557475,-0.439982533,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.415865659,0.312764396,-0.009356316,-0.445856538,-0.229914665,-1.504905764
