kappa,theta,sigma,T,P
0.1,0.04000000000000001,0.015,1,0.9699848542342577
0.1,0.04000000000000001,0.015,2,0.9410250632065833
0.1,0.04000000000000001,0.015,5,0.8599494833137542
0.1,0.04000000000000001,0.015,10,0.7415911598853274
0.1,0.04000000000000001,0.015,15,0.6406123482988406
0.1,0.04000000000000001,0.015,30,0.41489798452752463
0.1,0.04000000000000001,0.019999999999999997,1,0.9699915838011159
0.1,0.04000000000000001,0.019999999999999997,2,0.9418214017169709
0.1,0.04000000000000001,0.019999999999999997,5,0.866510001542872
0.1,0.04000000000000001,0.019999999999999997,10,0.763735876121086
0.1,0.04000000000000001,0.019999999999999997,15,0.6801406374725549
0.1,0.04000000000000001,0.019999999999999997,30,0.4943441114167009
0.1,0.04000000000000001,0.024999999999999998,1,0.9700002361699657
0.1,0.04000000000000001,0.024999999999999998,2,0.9428462558134842
0.1,0.04000000000000001,0.024999999999999998,5,0.8750185496466535
0.1,0.04000000000000001,0.024999999999999998,10,0.7931820579029069
0.1,0.04000000000000001,0.024999999999999998,15,0.7345674677696409
0.1,0.04000000000000001,0.024999999999999998,30,0.6192369250359813
0.1,0.04000000000000001,0.03,1,0.9700108113922605
0.1,0.04000000000000001,0.03,2,0.9441003698656114
0.1,0.04000000000000001,0.03,5,0.885531429168449
0.1,0.04000000000000001,0.03,10,0.8307179864890851
0.1,0.04000000000000001,0.03,15,0.8070384103756256
0.1,0.04000000000000001,0.03,30,0.8154996247788298
0.1,0.04000000000000001,0.034999999999999996,1,0.9700233095308891
0.1,0.04000000000000001,0.034999999999999996,2,0.9455846554910727
0.1,0.04000000000000001,0.034999999999999996,5,0.8981187012067597
0.1,0.04000000000000001,0.034999999999999996,10,0.8773752679659753
0.1,0.04000000000000001,0.034999999999999996,15,0.9019579020718392
0.1,0.04000000000000001,0.034999999999999996,30,1.12909406806625
0.1,0.04000000000000001,0.039999999999999994,1,0.9700377306601758
0.1,0.04000000000000001,0.039999999999999994,2,0.947300192660335
0.1,0.04000000000000001,0.039999999999999994,5,0.912864965029523
0.1,0.04000000000000001,0.039999999999999994,10,0.9344761131334326
0.1,0.04000000000000001,0.039999999999999994,15,1.0254343905878858
